ISBN,Titulo,Autor,Ano_Publicacao,Capa_URL,Content_Warnings
9783736315471,High Hopes,Ava  Reed,2022.0,https://assets.hardcover.app/editions/31350666/4124600343394320.jpg,
9781370546633,Something Like Stories: Volume Two,Jay Bell,2017.0,https://assets.hardcover.app/editions/31019661/5022705846610380.jpg,Sexual content
9789635973651,Annihilate,Jaymin Eve,2016.0,https://assets.hardcover.app/edition/30497301/e755870c-fb57-486a-912d-660f1d032084.jpg,
9781476786421,Black Iris,Elliot Wake,2015.0,https://assets.hardcover.app/edition/30454105/33bee1ee2c1a52054f9a72add9bdb02276dd5764.jpeg,
9781942444794,Top Secret,Elle Kennedy,2019.0,https://assets.hardcover.app/editions/30392296/6723284990878922.jpg,
9781649374042,Fourth Wing,Rebecca Yarros,2023.0,https://assets.hardcover.app/editions/30707731/3559167047761380.jpeg,"Violence, Sexual content, Death, Injury/Injury detail, War, Murder, Death of parent, Grief, Fire/Fire injury, Emotional abuse"
9781530442553,Anti-Romance,Cassia Leo,2016.0,https://assets.hardcover.app/users/1900/6050879297326444.jpg,
9780988393509,Losing It,Cora Carmack,2012.0,https://assets.hardcover.app/edition/30737350/9a343dfb554bd39ab7cccd7ac2ebca39d94afd08.jpeg,
9798669148294,Druid Arcane,M.D. Massey,2020.0,https://assets.hardcover.app/edition/30407624/2da179616eca84ecc34206fb54932d9d280b7d19.jpeg,
9781648904349,The Magic Between,Stephanie Hoyt,2022.0,https://assets.hardcover.app/editions/30409995/b093f34a-50d7-40e0-81da-791f49f2d25b.jpg,
,A Billion Dollar Romance,Britt Bentley,2023.0,https://assets.hardcover.app/edition/32347887/240b7c65-b9ed-4b16-a53b-1b84df6d97f6.jpg,Sexual content
9781922688170,Hate,Tate James,2020.0,https://assets.hardcover.app/edition/31483815/73a3433006e3f806eab77219679497c9d0cb8024.jpeg,"Violence, Sexual content"
9781775293958,The Score,Elle Kennedy,2.0,https://assets.hardcover.app/edition/21735210/b2b5d96e-d85a-4289-9151-0563d0458789.jpg,"Death, Grief, Drug use, Alcohol, Sexual content, Car accident, Cancer, Terminal illness, Toxic relationship, Vomit"
